"Style";"String";"ChatGPT";"Llama 2 7B";"NeuroParsCit"
"authoryear";"PRITCHARD, A (1969). “STATISTICAL BIBLIOGRAPHY OR BIBLIOMETRICS”. In: JOURNAL OF DOCUMENTATION 25.4, pp. 348+. issn: 0022-0418.";"@article{pritchard1969statistical,   author    = {Pritchard, A},   title     = {STATISTICAL BIBLIOGRAPHY OR BIBLIOMETRICS},   journal   = {JOURNAL OF DOCUMENTATION},   year      = {1969},   volume    = {25},   number    = {4},   pages     = {348+},   issn      = {0022-0418} }  ";"@article{PRITCHARD1969, title={STATISTICAL BIBLIOGRAPHY OR BIBLIOMETRICS}, author={PRITCHARD, A}, journal={JOURNAL OF DOCUMENTATION}, volume={25}, issue={4}, pages={348+}, issn={0022-0418}, }";"PRITCHARD, AUTHOR A TITLE (1969). DATE “STATISTICAL TITLE BIBLIOGRAPHY TITLE OR TITLE BIBLIOMETRICS”. TITLE In: TITLE JOURNAL JOURNAL OF JOURNAL DOCUMENTATION JOURNAL 25.4, VOLUME pp. PAGES 348+. PAGES issn: NOTES 0022-0418. PAGES"
"authoryear";"Guler, Arzu Tugce, Cathelijn J. F. Waaijer, and Magnus Palmblad (2016). “Scientific workflows for bibliometrics”. In: SCIENTOMETRICS 107.2. 15th International Conference of the International-Society-for-Scientometrics-and-Informetrics (ISSI) on Scientometrics and Informetrics, Bogazici Univ, Istanbul, TURKEY, JUN 29-JUL 04, 2015, pp. 385–398. issn: 0138-9130. doi: 10.1007/s11192-016-1885-6.";"@article{guler2016scientific,   author    = {Guler, Arzu Tugce and Waaijer, Cathelijn J. F. and Palmblad, Magnus},   title     = {Scientific workflows for bibliometrics},   journal   = {SCIENTOMETRICS},   year      = {2016},   volume    = {107},   number    = {2},   pages     = {385--398},   issn      = {0138-9130},   doi       = {10.1007/s11192-016-1885-6} }  ";"@article{Guler2016, title={Scientific workflows for bibliometrics}, author={Guler, Arzu Tugce et al.), journal={SCIENTOMETRICS}, volume={107}, issue={2}, pages={385-398}, issn={0138-9130}, doi={10.1007/s11192-2016-1885-6} }";"Guler, AUTHOR Arzu AUTHOR Tugce, AUTHOR Cathelijn AUTHOR J. AUTHOR F. AUTHOR Waaijer, AUTHOR and AUTHOR Magnus AUTHOR Palmblad AUTHOR (2016). DATE “Scientific TITLE workflows TITLE for TITLE bibliometrics”. TITLE In: TITLE SCIENTOMETRICS BOOKTITLE 107.2. BOOKTITLE 15th BOOKTITLE International BOOKTITLE Conference BOOKTITLE of BOOKTITLE the BOOKTITLE International-Society-for-Scientometrics-and-Informetrics BOOKTITLE (ISSI) BOOKTITLE on BOOKTITLE Scientometrics BOOKTITLE and BOOKTITLE Informetrics, BOOKTITLE Bogazici BOOKTITLE Univ, BOOKTITLE Istanbul, LOCATION TURKEY, BOOKTITLE JUN JOURNAL 29-JUL DATE 04, VOLUME 2015, DATE pp. PAGES 385–398. PAGES issn: VOLUME 0138-9130. PAGES doi: PAGES 10.1007/s11192-016-1885-6. PAGES"
"authoryear";"CAMPOS, C and FL REDONDO (1991). “BIBLIOMETRICS AND CLINICAL-CHEMISTRY”. In: CLINICAL CHEMISTRY 37.2, pp. 303–304. issn: 0009-9147.";"@article{campos1991bibliometrics,   author    = {Campos, C and Redondo, FL},   title     = {Bibliometrics and clinical-chemistry},   journal   = {CLINICAL CHEMISTRY},   year      = {1991},   volume    = {37},   number    = {2},   pages     = {303--304},   issn      = {0009-9147} }  ";"@article{campos1991, title={Bibliometrics and clinical chemistry}, author={CAMPOS, C and FL REDONDO}, journal=CLINICAL CHEMISTRY, volume={37}, issue={2}, pages={303-304}, issn=0009-9147, doi={10.1093/clinics/37.2.303} }";"CAMPOS, AUTHOR C AUTHOR and AUTHOR FL AUTHOR REDONDO TITLE (1991). DATE “BIBLIOMETRICS TITLE AND TITLE CLINICAL-CHEMISTRY”. TITLE In: TITLE CLINICAL JOURNAL CHEMISTRY JOURNAL 37.2, VOLUME pp. PAGES 303–304. PAGES issn: PAGES 0009-9147. PAGES"
"authoryear";"Prathap, Gangan (2022). “Introduction to Bibliometrics and Scientometrics”. In: ANNALS OF LIBRARY AND INFORMATION STUDIES 69.4, p. 327. issn: 0972-5423. doi: 10.56042/alis.v69i4.69731.";"@article{prathap2022introduction,   author    = {Prathap, Gangan},   title     = {Introduction to Bibliometrics and Scientometrics},   journal   = {ANNALS OF LIBRARY AND INFORMATION STUDIES},   year      = {2022},   volume    = {69},   number    = {4},   pages     = {327},   issn      = {0972-5423},   doi       = {10.56042/alis.v69i4.69731} }  ";"@article{prathap2022, title={Introduction to Bibliometrics and Scientometrics}, author={PRATHAP, Gangan}, journal=ANNALS OF LIBRARY AND INFORMATION STUDIES, volume={69}, issue={4}, pages={327-328}, issn=0972-5423, doi={10.5604/alis.2022.69.4.69731} }";"Prathap, AUTHOR Gangan AUTHOR (2022). DATE “Introduction TITLE to TITLE Bibliometrics TITLE and TITLE Scientometrics”. TITLE In: TITLE ANNALS BOOKTITLE OF BOOKTITLE LIBRARY BOOKTITLE AND BOOKTITLE INFORMATION BOOKTITLE STUDIES JOURNAL 69.4, VOLUME p. PAGES 327. PAGES issn: VOLUME 0972-5423. PAGES doi: PAGES 10.56042/alis.v69i4.69731. PAGES"
"authoryear";"NARIN, F, D OLIVASTRO, and KA STEVENS (1994). “BIBLIOMETRICS THEORY, PRACTICE AND PROBLEMS”. In: EVALUATION REVIEW 18.1, pp. 65–76. issn: 0193-841X. doi: 10.1177/0193841X9401800107.";"@article{narin1994bibliometrics,   author    = {Narin, F and Olivastro, D and Stevens, KA},   title     = {Bibliometrics theory, practice and problems},   journal   = {EVALUATION REVIEW},   year      = {1994},   volume    = {18},   number    = {1},   pages     = {65--76},   issn      = {0193-841X},   doi       = {10.1177/0193841X9401800107} }  ";"@book{narain1994, title={Bibliometrics: theory, practice and problems}, author={NARIN, F, D OLIVASTRO, and KA STEVENS}, publisher={MIT Press}, address=Cambridge, MA, pages=65-76, issn=0193-841X, doi={10.2307/j.ctt1q0b7r} }";"NARIN, AUTHOR F, AUTHOR D AUTHOR OLIVASTRO, AUTHOR and AUTHOR KA AUTHOR STEVENS AUTHOR (1994). DATE “BIBLIOMETRICS TITLE THEORY, TITLE PRACTICE TITLE AND AUTHOR PROBLEMS”. JOURNAL In: JOURNAL EVALUATION JOURNAL REVIEW JOURNAL 18.1, VOLUME pp. PAGES 65–76. PAGES issn: VOLUME 0193-841X. PAGES doi: PAGES 10.1177/0193841X9401800107. PAGES"
"authoryear";"Hicks, Daniel J. (2016). “Bibliometrics for Social Validation”. In: PLOS ONE 11.12. issn: 1932-6203. doi: 10.1371/journal.pone.0168597.";"@article{hicks2016bibliometrics,   author    = {Hicks, Daniel J.},   title     = {Bibliometrics for Social Validation},   journal   = {PLOS ONE},   year      = {2016},   volume    = {11},   number    = {12},   issn      = {1932-6203},   doi       = {10.1371/journal.pone.0168597} }  ";"@article{hicks2016, title={Bibliometrics for Social Validation}, author={HICKS, Daniel J.}, journal=PLOS ONE, volume={11}, pages={e0168597}, issn=1932-6203, doi={10.7284/RF10} }";"Hicks, AUTHOR Daniel AUTHOR J. AUTHOR (2016). DATE “Bibliometrics TITLE for TITLE Social TITLE Validation”. TITLE In: TITLE PLOS JOURNAL ONE VOLUME 11.12. VOLUME issn: VOLUME 1932-6203. PAGES doi: NOTE 10.1371/journal.pone.0168597. PAGES"
"authoryear";"DANIEL, RS (1979). “BIBLIOMETRICS AND SCHOLARLY IMPACT”. In: AMERICAN PSYCHOLOGIST 34.8, pp. 725–726. issn: 0003-066X. doi: 10.1037/0003- 066X.34.8.725.";"@article{daniel1979bibliometrics,   author    = {Daniel, RS},   title     = {Bibliometrics and scholarly impact},   journal   = {AMERICAN PSYCHOLOGIST},   year      = {1979},   volume    = {34},   number    = {8},   pages     = {725--726},   issn      = {0003-066X},   doi       = {10.1037/0003-066X.34.8.725} }  ";"@book{daniel1979, title={Bibliometrics and scholarly impact}, author={DANIEL, RS}, publisher={Springer}, address=New York, NY, pages=725-726, issn=0003-066X, doi={10.1007/978-1-4615-7580-5} }";"DANIEL, AUTHOR RS AUTHOR (1979). DATE “BIBLIOMETRICS AUTHOR AND AUTHOR SCHOLARLY TITLE IMPACT”. TITLE In: TITLE AMERICAN JOURNAL PSYCHOLOGIST JOURNAL 34.8, VOLUME pp. PAGES 725–726. PAGES issn: VOLUME 0003-066X. PAGES doi: NOTES 10.1037/0003- PAGES 066X.34.8.725. PAGES"
"authoryear";"Zimmer, David (2014). “Bibliometrics: simple - understandable - comprehensible”. In: ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE 61.6, pp. 388–389. issn: 0044-2380.";"@article{zimmer2014bibliometrics,   author    = {Zimmer, David},   title     = {Bibliometrics: simple - understandable - comprehensible},   journal   = {ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE},   year      = {2014},   volume    = {61},   number    = {6},   pages     = {388--389},   issn      = {0044-2380} }  ";"@article{Zimmer2014, title={Bibliometrics: simple - understandable - comprehensible}, author={Zimmer, David}, journal={ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE}, volume={61.6}, pages={388-389}, issn=0044-2380, doi={10.1002/(SICI)1097-4571(2014)41:1<388::AID-ASI8>3.0.CO;2-J}, }";"Zimmer, AUTHOR David AUTHOR (2014). DATE “Bibliometrics: TITLE simple TITLE - TITLE understandable TITLE - TITLE comprehensible”. TITLE In: TITLE ZEITSCHRIFT TITLE FUR JOURNAL BIBLIOTHEKSWESEN JOURNAL UND JOURNAL BIBLIOGRAPHIE JOURNAL 61.6, VOLUME pp. PAGES 388–389. PAGES issn: NOTES 0044-2380. PAGES"
"authoryear";"MCLAIN, JP (1990). “BIBLIOMETRICS TOOLBOX - BROOKS,TA”. In: JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE 41.1, pp. 70–71. issn: 0002-8231. doi: 10.1002/(SICI)1097-4571(199001)41:1<70::AID-ASI8>3.0.CO;2-J.";"@article{mclain1990bibliometrics,   author    = {Mclain, JP},   title     = {Bibliometrics toolbox - Brooks, TA},   journal   = {JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE},   year      = {1990},   volume    = {41},   number    = {1},   pages     = {70--71},   issn      = {0002-8231},   doi       = {10.1002/(SICI)1097-4571(199001)41:1<70::AID-ASI8>3.0.CO;2-J} }   ";"@article{MCLAIN1990, title={BIBLIOMETRICS TOOLBOX - BROOKS,TA}, author={MCLAIN, JP}, journal={JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE}, volume={41.1}, pages={70-71}, issn=0002-8231, doi={10.1002/(SICI)1097-4571(199001)41:1<70::AID-ASI8>3.0.CO;2-J}, }";"MCLAIN, AUTHOR JP AUTHOR (1990). DATE “BIBLIOMETRICS AUTHOR TOOLBOX AUTHOR - AUTHOR BROOKS,TA”. AUTHOR In: AUTHOR JOURNAL AUTHOR OF AUTHOR THE JOURNAL AMERICAN JOURNAL SOCIETY JOURNAL FOR JOURNAL INFORMATION JOURNAL SCIENCE JOURNAL 41.1, VOLUME pp. PAGES 70–71. PAGES issn: NOTES 0002-8231. PAGES doi: NOTE 10.1002/(SICI)1097-4571(199001)41:1<70::AID-ASI8>3.0.CO;2-J. NOTE"
"authoryear";"Bornmann, Lutz (2020). “Bibliometrics-based decision trees (BBDTs) based on bibliometrics-based heuristics (BBHs): Visualized guidelines for the use of bibliometrics in research evaluation”. In: QUANTITATIVE SCIENCE STUDIES 1.1, pp. 171–182. doi: 10.1162/qss\_a\_00012.";"@article{bornmann2020bibliometrics,   author    = {Lutz Bornmann},   title     = {Bibliometrics-based decision trees (BBDTs) based on bibliometrics-based heuristics (BBHs): Visualized guidelines for the use of bibliometrics in research evaluation},   journal   = {Quantitative Science Studies},   year      = {2020},   volume    = {1},   number    = {1},   pages     = {171--182},   doi       = {10.1162/qss_a_00012} }  ";"@article{Bornmann2020, title={Bibliometrics-based decision trees (BBDTs) based on bibliometrics-based heuristics (BBHs): Visualized guidelines for the use of bibliometrics in research evaluation}, author={Bornmann, Lutz}, journal={QUANTITATIVE SCIENCE STUDIES}, volume={1.1}, pages={171-182}, issn=1300-0039, doi={10.24146/tkd.2019.47}, }";"Bornmann, AUTHOR Lutz AUTHOR (2020). DATE “Bibliometrics-based TITLE decision TITLE trees TITLE (BBDTs) TITLE based TITLE on TITLE bibliometrics-based TITLE heuristics TITLE (BBHs): TITLE Visualized TITLE guidelines TITLE for TITLE the TITLE use TITLE of TITLE bibliometrics TITLE in TITLE research TITLE evaluation”. TITLE In: TITLE QUANTITATIVE BOOKTITLE SCIENCE BOOKTITLE STUDIES JOURNAL 1.1, VOLUME pp. PAGES 171–182. PAGES doi: NOTE 10.1162/qss\_a\_00012. NOTE"
"authoryear";"Yilmaz, Murat (2019). “A Critical View on Bibliometrics”. In: TURKISH LIBRARIANSHIP 33.1, pp. 43–49. issn: 1300-0039. doi: 10.24146/tkd.2019.47.";"@article{yilmaz2019critical,   author    = {Murat Yilmaz},   title     = {A Critical View on Bibliometrics},   journal   = {Turkish Librarianship},   year      = {2019},   volume    = {33},   number    = {1},   pages     = {43--49},   issn      = {1300-0039},   doi       = {10.24146/tkd.2019.47} }  ";"@article{Yilmaz2019, title={A Critical View on Bibliometrics}, author={Yilmaz, Murat}, journal={TURKISH LIBRARIANSHIP}, volume={33.1}, pages={43-49}, issn=1300-0039, doi={10.24146/tkd.2019.47}, }";"Yilmaz, AUTHOR Murat AUTHOR (2019). DATE “A TITLE Critical TITLE View TITLE on TITLE Bibliometrics”. TITLE In: TITLE TURKISH JOURNAL LIBRARIANSHIP JOURNAL 33.1, VOLUME pp. PAGES 43–49. PAGES issn: NOTES 1300-0039. PAGES doi: NOTES 10.24146/tkd.2019.47. NOTES"
"authoryear";"Friedberg, Errol C. (2010). “A closer look at bibliometrics”. In: DNA REPAIR 9.10, pp. 1018–1020. issn: 1568-7864. doi: 10.1016/j.dnarep.2010.07.010.";"@article{friedberg2010closer,   author    = {Errol C. Friedberg},   title     = {A closer look at bibliometrics},   journal   = {DNA Repair},   year      = {2010},   volume    = {9},   number    = {10},   pages     = {1018--1020},   issn      = {1568-7864},   doi       = {10.1016/j.dnarep.2010.07.010} }  ";"@article{Friedberg2010, title={A closer look at bibliometrics}, author={Friedberg, Errol C.}, journal={DNA REPAIR}, volume={9.10}, pages={1018-1020}, issn=1568-7864, doi={10.1016/j.dnarep.2010.07.010}, }";"Friedberg, AUTHOR Errol AUTHOR C. AUTHOR (2010). DATE “A TITLE closer TITLE look TITLE at TITLE bibliometrics”. TITLE In: TITLE DNA JOURNAL REPAIR JOURNAL 9.10, VOLUME pp. PAGES 1018–1020. PAGES issn: NOTES 1568-7864. PAGES doi: NOTES 10.1016/j.dnarep.2010.07.010. NOTES"
"authoryear";"Burrell, Q (1995). “Dictionary of bibliometrics - Diodato,V”. In: JOURNAL OF DOCUMENTATION 51.4, pp. 448–450. issn: 0022-0418.";"@article{burrell1995dictionary,   author    = {Q Burrell},   title     = {Dictionary of bibliometrics - Diodato,V},   journal   = {Journal of Documentation},   year      = {1995},   volume    = {51},   number    = {4},   pages     = {448--450},   issn      = {0022-0418} }  ";"@article{burrell1995, title={Dictionary of Bibliometrics - Diodato,V}, author={Burrell, Q}, journal={JOURNAL OF DOCUMENTATION}, volume={51}, issue={4}, pages={448-450}, issn={0022-0418}, }";"Burrell, AUTHOR Q AUTHOR (1995). DATE “Dictionary TITLE of TITLE bibliometrics TITLE - TITLE Diodato,V”. TITLE In: TITLE JOURNAL JOURNAL OF JOURNAL DOCUMENTATION JOURNAL 51.4, VOLUME pp. PAGES 448–450. PAGES issn: NOTES 0022-0418. PAGES"
"authoryear";"Stefanis, Christos et al. (2023). “Terroir in View of Bibliometrics”. In: STATS 6.4, pp. 956–979. doi: 10.3390/stats6040060.";"@article{stefanis2023terroir,   author    = {Christos Stefanis and others},   title     = {Terroir in View of Bibliometrics},   journal   = {Stats},   year      = {2023},   volume    = {6},   number    = {4},   pages     = {956--979},   doi       = {10.3390/stats6040060} }  ";"@article{stefanis2023, title={Terroir in View of Bibliometrics}, author={Stefanis, Christos and et al.}, journal={STATS}, volume={6}, issue={4}, pages={956-979}, issn={10.3390/stats6040060}, }";"Stefanis, AUTHOR Christos AUTHOR et AUTHOR al. AUTHOR (2023). DATE “Terroir TITLE in TITLE View TITLE of TITLE Bibliometrics”. TITLE In: BOOKTITLE STATS BOOKTITLE 6.4, VOLUME pp. PAGES 956–979. PAGES doi: NOTES 10.3390/stats6040060. PAGES"
"authoryear";"Borgoyakova, Kristina and Andrey Zemskov (2018). “Bibliometrics and hunting the predators”. In: NAUCHNYE I TEKHNICHESKIE BIBLIOTEKI-SCIENTIFIC AND TECHNICAL LIBRARIES 2, pp. 89–100. issn: 0130-9765.";"@article{borgoyakova2018bibliometrics,   author    = {Kristina Borgoyakova and Andrey Zemskov},   title     = {Bibliometrics and hunting the predators},   journal   = {Nauchnye i Tekhnicheskie Biblioteki-Scientific and Technical Libraries},   year      = {2018},   volume    = {2},   pages     = {89--100},   issn      = {0130-9765} }  ";"@article{Borgoyakova2018, title={Bibliometrics and hunting the predators}, author={Borgoyakova, Kristina and Zemskov, Andrey}, journal={Nauchnye I Tekhnicheskite Biblioteki-Scientific and Technical Libraries}, volume{2}, pages={89\u2013100}, issn={0130-9765}, doi={10.1016/j.cities.2012.06.012} }";"Borgoyakova, AUTHOR Kristina AUTHOR and AUTHOR Andrey AUTHOR Zemskov AUTHOR (2018). DATE “Bibliometrics TITLE and TITLE hunting TITLE the TITLE predators”. TITLE In: TITLE NAUCHNYE TITLE I TITLE TEKHNICHESKIE JOURNAL BIBLIOTEKI-SCIENTIFIC JOURNAL AND JOURNAL TECHNICAL JOURNAL LIBRARIES JOURNAL 2, VOLUME pp. PAGES 89–100. PAGES issn: NOTES 0130-9765. PAGES"
"authoryear";"Kamalski, Judith and Andrew Kirby (2012). “Bibliometrics and urban knowledge transfer”. In: CITIES 29.2, SI, S3–S8. issn: 0264-2751. doi: 10.1016/j.cities.2012.06.012.";"@article{kamalski2012bibliometrics,   author    = {Judith Kamalski and Andrew Kirby},   title     = {Bibliometrics and urban knowledge transfer},   journal   = {Cities},   year      = {2012},   volume    = {29},   number    = {2},   pages     = {S3--S8},   issn      = {0264-2751},   doi       = {10.1016/j.cities.2012.06.012} }  ";"@article{kamalski2012, title={Bibliometrics and urban knowledge transfer}, author={Kamalski, Judith and Andrew Kirby}, journal={CITIES}, volume={29}, issue={SI}, pages={S3-S8}, issn={0264-2751}, doi={10.1016/j.cities.2012.06.012}, }";"Kamalski, AUTHOR Judith AUTHOR and AUTHOR Andrew AUTHOR Kirby AUTHOR (2012). DATE “Bibliometrics TITLE and TITLE urban TITLE knowledge TITLE transfer”. TITLE In: TITLE CITIES JOURNAL 29.2, VOLUME SI, VOLUME S3–S8. VOLUME issn: VOLUME 0264-2751. PAGES doi: NOTE 10.1016/j.cities.2012.06.012. PAGES"
"authoryear";"PERITZ, BC (1990). “A BRADFORD DISTRIBUTION FOR BIBLIOMETRICS”. In: SCIENTOMETRICS 18.5-6, pp. 323–329. issn: 0138-9130. doi: 10.1007/BF02020148.";"@article{peritz1990bradford,   author    = {BC Peritz},   title     = {A BRADFORD DISTRIBUTION FOR BIBLIOMETRICS},   journal   = {Scientometrics},   year      = {1990},   volume    = {18},   number    = {5-6},   pages     = {323--329},   issn      = {0138-9130},   doi       = {10.1007/BF02020148} }  ";"@article{peritz1990, title={A Bradford Distribution for Bibliometrics}, author={PERITZ, BC}, journal={SCIENTOMETRICS}, volume={18}, issue={5-6}, pages={323-329}, issn={0138-9130}, doi={10.1007/BF02020148}, }";"PERITZ, AUTHOR BC AUTHOR (1990). DATE “A AUTHOR BRADFORD TITLE DISTRIBUTION TITLE FOR TITLE BIBLIOMETRICS”. TITLE In: JOURNAL SCIENTOMETRICS JOURNAL 18.5-6, PAGES pp. PAGES 323–329. PAGES issn: VOLUME 0138-9130. PAGES doi: NOTES 10.1007/BF02020148. PAGES"
"authoryear";"Nederhof, Anton J., Robert J. W. Tijssen, and Henk F. Moed (2010). “Anthony van Raan and bibliometrics”. In: RESEARCH EVALUATION 19.3, SI, pp. 158–160. issn: 0958-2029. doi: 10.3152/095820210X516560;.";"@article{nederhof2010anthony,   author    = {Anton J. Nederhof and Robert J. W. Tijssen and Henk F. Moed},   title     = {Anthony van Raan and bibliometrics},   journal   = {Research Evaluation},   year      = {2010},   volume    = {19},   number    = {3},   pages     = {158--160},   issn      = {0958-2029},   doi       = {10.3152/095820210X516560} }  ";"@article{nederhof2010, title = {Anthony van Raan and bibliometrics}, author = {Nederhof, Anton J. and Tijssen, Robert J. W. and Moed, Henk F.}, journal = {RESEARCH EVALUATION}, volume = 19, issue = 3, pages = {158-160}, issn = {0958-2029}, doi = {10.3152/095820210X516560}, }";"Nederhof, AUTHOR Anton AUTHOR J., AUTHOR Robert AUTHOR J. AUTHOR W. AUTHOR Tijssen, AUTHOR and AUTHOR Henk AUTHOR F. AUTHOR Moed AUTHOR (2010). DATE “Anthony TITLE van TITLE Raan TITLE and TITLE bibliometrics”. TITLE In: TITLE RESEARCH TITLE EVALUATION JOURNAL 19.3, VOLUME SI, JOURNAL pp. PAGES 158–160. PAGES issn: NOTES 0958-2029. PAGES doi: NOTES 10.3152/095820210X516560;. NOTES"
"authoryear";"Keramatfar, Abdalsamad and Hossein Amirkhani (2019). “Bibliometrics of sentiment analysis literature”. In: JOURNAL OF INFORMATION SCIENCE 45.1, pp. 3–15. issn: 0165-5515. doi: 10.1177/0165551518761013.";"@article{keramatfar2019bibliometrics,   author    = {Abdalsamad Keramatfar and Hossein Amirkhani},   title     = {Bibliometrics of sentiment analysis literature},   journal   = {Journal of Information Science},   year      = {2019},   volume    = {45},   number    = {1},   pages     = {3--15},   issn      = {0165-5515},   doi       = {10.1177/0165551518761013} }  ";"@article{keramatfar2019, title = {Bibliometrics of sentiment analysis literature}, author = {Keramatfar, Abdalsamad and Amirkhani, Hossein}, journal = {JOURNAL OF INFORMATION SCIENCE}, volume = 45, issue = 1, pages = {3-15}, issn = {0165-5515}, doi = {10.1177/0165551518761013}, }";"Keramatfar, AUTHOR Abdalsamad AUTHOR and AUTHOR Hossein AUTHOR Amirkhani AUTHOR (2019). DATE “Bibliometrics TITLE of TITLE sentiment TITLE analysis TITLE literature”. TITLE In: TITLE JOURNAL JOURNAL OF JOURNAL INFORMATION JOURNAL SCIENCE JOURNAL 45.1, VOLUME pp. PAGES 3–15. PAGES issn: NOTES 0165-5515. PAGES doi: NOTES 10.1177/0165551518761013. PAGES"
"authoryear";"Johnson, Ian M. (2011). “Bibliometrics and the brain dead”. In: INFORMATION DEVELOPMENT 27.2, pp. 92–93. issn: 0266-6669. doi: 10.1177/0266666911404012.";"@article{johnson2011bibliometrics,   author    = {Ian M. Johnson},   title     = {Bibliometrics and the brain dead},   journal   = {Information Development},   year      = {2011},   volume    = {27},   number    = {2},   pages     = {92--93},   issn      = {0266-6669},   doi       = {10.1177/0266666911404012} }  ";"@article{johnson2011, title = {Bibliometrics and the brain dead}, author = {Johnson, Ian M.}, journal = {INFORMATION DEVELOPMENT}, volume = 27, issue = 2, pages = {92-93}, issn = {0266-6669}, doi = {10.1177/0266666911404012}, }";"Johnson, AUTHOR Ian AUTHOR M. AUTHOR (2011). DATE “Bibliometrics TITLE and TITLE the TITLE brain TITLE dead”. TITLE In: TITLE INFORMATION JOURNAL DEVELOPMENT JOURNAL 27.2, VOLUME pp. PAGES 92–93. PAGES issn: VOLUME 0266-6669. PAGES doi: NOTES 10.1177/0266666911404012. PAGES"
"authoryear";"Brimblecombe, Peter and Carlota M. Grossi (2009). “The bibliometrics of atmospheric environment”. In: ATMOSPHERIC ENVIRONMENT 43.1, pp. 9–12. issn: 1352-2310. doi: 10.1016/j.atmosenv.2008.09.037.";"@article{brimblecombe2009bibliometrics,   author    = {Peter Brimblecombe and Carlota M. Grossi},   title     = {The bibliometrics of atmospheric environment},   journal   = {Atmospheric Environment},   year      = {2009},   volume    = {43},   number    = {1},   pages     = {9--12},   issn      = {1352-2310},   doi       = {10.1016/j.atmosenv.2008.09.037} }  ";"@article{brimblecombe2009, title = {The bibliometrics of atmospheric environment}, author = {Brimblecombe, Peter and Grossi, Carlota M.}, journal = {ATMOSPHERIC ENVIRONMENT}, volume = 43, issue = 1, pages = {9-12}, issn = {1352-2310}, doi = {10.1016/j.atmosenv.2008.09.037}, }";"Brimblecombe, AUTHOR Peter AUTHOR and AUTHOR Carlota AUTHOR M. AUTHOR Grossi AUTHOR (2009). DATE “The TITLE bibliometrics TITLE of TITLE atmospheric TITLE environment”. TITLE In: TITLE ATMOSPHERIC JOURNAL ENVIRONMENT JOURNAL 43.1, VOLUME pp. PAGES 9–12. PAGES issn: VOLUME 1352-2310. PAGES doi: NOTES 10.1016/j.atmosenv.2008.09.037. NOTES"
"authoryear";"TODOROV, R and W GLAENZEL (1990). “COMPUTER BIBLIOMETRICS FOR JOURNAL CLASSIFICATION”. In: INFORMATION PROCESSING & MANAGEMENT 26.5. COLLOQUIUM ON EVALUATION AND DOCUMENTARY INFORMATION SYSTEMS, UNIV BORDEAUX III, BORDEAUX, FRANCE, NOV 24-25, 1988, pp. 673–680. issn: 0306-4573. doi: 10.1016/0306-4573(90)90109-F.";"@article{todorov1990computer,   author    = {R Todorov and W Glaenzel},   title     = {Computer bibliometrics for journal classification},   journal   = {Information Processing \& Management},   year      = {1990},   volume    = {26},   number    = {5},   pages     = {673--680},   issn      = {0306-4573},   doi       = {10.1016/0306-4573(90)90109-F} }  ";"@article{todoro2010, title = {Computer bibliometrics for journal classification}, author = {TODOROV, R and GLAENZEL, W}, pages = {673-680}, issn = {0306-4573}, doi = {10.1016/j.atmosenv.2008.09.037}, }";"TODOROV, AUTHOR R AUTHOR and AUTHOR W AUTHOR GLAENZEL AUTHOR (1990). DATE “COMPUTER TITLE BIBLIOMETRICS TITLE FOR TITLE JOURNAL TITLE CLASSIFICATION”. TITLE In: TITLE INFORMATION TITLE PROCESSING TITLE & JOURNAL MANAGEMENT JOURNAL 26.5. DATE COLLOQUIUM TITLE ON TITLE EVALUATION JOURNAL AND AUTHOR DOCUMENTARY JOURNAL INFORMATION JOURNAL SYSTEMS, JOURNAL UNIV JOURNAL BORDEAUX JOURNAL III, AUTHOR BORDEAUX, JOURNAL FRANCE, JOURNAL NOV VOLUME 24-25, VOLUME 1988, DATE pp. PAGES 673–680. PAGES issn: VOLUME 0306-4573. PAGES doi: PAGES 10.1016/0306-4573(90)90109-F. PAGES"
"authoryear";"Stuart, David (2017). “Data bibliometrics: metrics before norms”. In: ONLINE INFORMATION REVIEW 41.3, pp. 428–435. issn: 1468-4527. doi: 10.1108/OIR- 01- 2017- 0008.";"@article{stuart2017data,   author    = {David Stuart},   title     = {Data bibliometrics: metrics before norms},   journal   = {Online Information Review},   year      = {2017},   volume    = {41},   number    = {3},   pages     = {428--435},   issn      = {1468-4527},   doi       = {10.1108/OIR-01-2017-0008} }  ";"@Article{Stuart2017, title={Data Bibliometrics: Metrics before Norms}, author={Stuart, David}, journal={Online Information Review}, volume={41}, issue={3}, pages={428-435}, issn={1468-4527}, doi={10.1108/OIR-01-2017-0008}, }";"Stuart, AUTHOR David AUTHOR (2017). DATE “Data TITLE bibliometrics: TITLE metrics TITLE before TITLE norms”. TITLE In: TITLE ONLINE JOURNAL INFORMATION JOURNAL REVIEW JOURNAL 41.3, VOLUME pp. PAGES 428–435. PAGES issn: VOLUME 1468-4527. PAGES doi: PAGES 10.1108/OIR- PAGES 01- PAGES 2017- DATE 0008. DATE"
